budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
2600000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",,10895,"[{""id"": 131, ""name"": ""italy""}, {""id"": 2251, ""name"": ""lie""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2710, ""name"": ""fairy""}, {""id"": 3244, ""name"": ""pinocchio""}, {""id"": 3473, ""name"": ""carnival""}, {""id"": 4896, ""name"": ""wish""}, {""id"": 5202, ""name"": ""boy""}, {""id"": 5560, ""name"": ""nose""}, {""id"": 6300, ""name"": ""puppet""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10499, ""name"": ""pool""}, {""id"": 33674, ""name"": ""conscience""}, {""id"": 33675, ""name"": ""jackass""}, {""id"": 33676, ""name"": ""figaro""}, {""id"": 33677, ""name"": ""sneezing""}, {""id"": 187065, ""name"": ""toy comes to life""}]",en,Pinocchio,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket. From Stromboli's circus to Pleasure Island, Pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. With a few mishaps along the way, Geppetto's ""little woodenhead"" finally gets it right, proving that when you wish upon a star dreams really can come true!",46.007991,"[{""name"": ""RKO Radio Pictures"", ""id"": 6}, {""name"": ""Walt Disney Productions"", ""id"": 3166}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/23/1940,84300000,88,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,For anyone who has ever wished upon a star.,Pinocchio,6.9,1355
92620000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",,19,"[{""id"": 312, ""name"": ""man vs machine""}, {""id"": 1001, ""name"": ""underground world""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1761, ""name"": ""metropolis""}, {""id"": 2346, ""name"": ""worker""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3223, ""name"": ""machine town""}, {""id"": 3640, ""name"": ""work""}, {""id"": 4034, ""name"": ""class society""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5966, ""name"": ""tower of babel""}, {""id"": 6662, ""name"": ""delirium""}, {""id"": 10012, ""name"": ""chase scene""}, {""id"": 10125, ""name"": ""mad scientist""}, {""id"": 11222, ""name"": ""prophet""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14796, ""name"": ""destruction""}, {""id"": 154802, ""name"": ""silent film""}, {""id"": 201028, ""name"": ""depravity""}, {""id"": 206472, ""name"": ""masterpiece""}, {""id"": 234109, ""name"": ""downtrodden""}, {""id"": 234110, ""name"": ""saviour""}]",de,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",32.351527,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Universum Film (UFA)"", ""id"": 12372}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",1/10/1927,650422,153,"[{""iso_639_1"": ""xx"", ""name"": ""No Language""}]",Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8,657
0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,43867,"[{""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2505, ""name"": ""coronation""}, {""id"": 3289, ""name"": ""villain""}, {""id"": 4152, ""name"": ""kingdom""}, {""id"": 5515, ""name"": ""heir to the throne""}, {""id"": 9920, ""name"": ""royalty""}, {""id"": 10325, ""name"": ""mistaken identity""}, {""id"": 13084, ""name"": ""king""}, {""id"": 177035, ""name"": ""identity swap""}, {""id"": 204060, ""name"": ""monarch""}, {""id"": 235228, ""name"": ""lookalikes""}, {""id"": 236891, ""name"": ""beautiful princess""}]",en,The Prisoner of Zenda,"An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped.",4.021389,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Selznick International Pictures"", ""id"": 1553}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/3/1937,0,101,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The most thrilling swordfight ever filmed...,The Prisoner of Zenda,8.4,11
8250000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",,11620,"[{""id"": 5049, ""name"": ""ancient rome""}, {""id"": 6917, ""name"": ""epic""}, {""id"": 9144, ""name"": ""kaiser nero""}]",en,Quo Vadis,"Set against the back drop of Rome in crisis, General Marcus Vinicius returns to the city from the battle fields and falls in love with a Christian woman, Lygia. Caught in the grip of insanity, Nero's atrocities become more extreme and he burns Rome, laying the blame on the Christians. Vinicius races to save Lygia from the wrath of Nero as the empire of Rome collapses around them.",7.973109,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/8/1951,30000000,171,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,THIS IS THE BIG ONE! The splendor and savagery of the world's wickedest empire! Three hours of spectacle you'll remember for a lifetime!,Quo Vadis,7,63
6000000,"[{""id"": 37, ""name"": ""Western""}]",,32275,"[{""id"": 183528, ""name"": ""half breed""}]",en,Duel in the Sun,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",7.60445,"[{""name"": ""The Selznik Studio"", ""id"": 62}, {""name"": ""Vanguard Films"", ""id"": 614}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/31/1946,20400000,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Emotions . . . As Violent As The Wind-Swept Prairie !,Duel in the Sun,6.2,37
4100000,"[{""id"": 18, ""name"": ""Drama""}]",,29912,"[{""id"": 3571, ""name"": ""crucifixion""}, {""id"": 5049, ""name"": ""ancient rome""}]",en,The Robe,"Marcellus is a tribune in the time of Christ. He is in charge of the group that is assigned to crucify Jesus. Drunk, he wins Jesus' homespun robe after the crucifixion. He is tormented by nightmares and delusions after the event. Hoping to find a way to live with what he has done, and still not believing in Jesus, he returns to Palestine to try and learn what he can of the man he killed.",4.028875,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/16/1953,36000000,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The first motion picture in CinemaScope--the modern miracle you see without glasses!,The Robe,6.4,42
5000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",,173,"[{""id"": 269, ""name"": ""diving""}, {""id"": 270, ""name"": ""ocean""}, {""id"": 339, ""name"": ""submarine""}, {""id"": 385, ""name"": ""jules verne""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 2768, ""name"": ""atlantis""}, {""id"": 2769, ""name"": ""deep sea""}, {""id"": 2770, ""name"": ""war ship""}, {""id"": 2772, ""name"": ""diving suit""}, {""id"": 3193, ""name"": ""harpoon""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 6091, ""name"": ""war""}, {""id"": 10503, ""name"": ""scuba diving""}, {""id"": 14785, ""name"": ""underwater""}, {""id"": 155334, ""name"": ""scuba""}, {""id"": 191409, ""name"": ""captain nemo""}, {""id"": 219972, ""name"": ""giant  squid""}]",en,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",9.358197,"[{""name"": ""Walt Disney Productions"", ""id"": 3166}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/23/1954,28200000,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The mightiest motion picture of them all!,"20,000 Leagues Under the Sea",6.8,157
5000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",,24973,"[{""id"": 1160, ""name"": ""egypt""}]",en,The Egyptian,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",4.079111,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/25/1954,15000000,139,"[{""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"To Nefer, shameless temptress of Babylon, he surrendered his parents' hope of immortality!",The Egyptian,6,11
5000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,29996,"[{""id"": 536, ""name"": ""israel""}, {""id"": 1160, ""name"": ""egypt""}, {""id"": 3684, ""name"": ""religion and supernatural""}, {""id"": 6917, ""name"": ""epic""}]",en,Solomon and Sheba,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.",0.835617,"[{""name"": ""Edward Small Productions"", ""id"": 13479}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/25/1959,12200000,139,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Only once in 3000 years...anything like...,Solomon and Sheba,5.4,8
4,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,22649,"[{""id"": 131, ""name"": ""italy""}, {""id"": 428, ""name"": ""nurse""}, {""id"": 3452, ""name"": ""love letter""}, {""id"": 3776, ""name"": ""officer""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 12392, ""name"": ""best friend""}, {""id"": 156764, ""name"": ""pre-code""}, {""id"": 158547, ""name"": ""air raid""}, {""id"": 185034, ""name"": ""ambulance driver""}, {""id"": 185037, ""name"": ""battle of the isonzo""}, {""id"": 233360, ""name"": ""air attack""}]",en,A Farewell to Arms,"British nurse Catherine Barkley (Helen Hayes) and American Lieutenant Frederic Henry (Gary Cooper) fall in love during the First World War in Italy. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each, as the war rages on. Academy Awards winner for Best Cinematography and for Best Sound, Recording. Nominated for Best Picture and for Best Art Direction.",1.199451,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/8/1932,25,89,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every woman who has loved will understand,A Farewell to Arms,6.2,28
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,56930,"[{""id"": 1262, ""name"": ""mountains""}, {""id"": 5721, ""name"": ""engineer""}, {""id"": 34139, ""name"": ""railroad""}, {""id"": 211062, ""name"": ""ethics""}]",en,Tycoon,"Engineer Johnny Munroe is enlisted to build a railroad tunnel through a mountain to reach mines. His task is complicated, and his ethics are compromised, when he falls in love with his boss's daughter",0.042442,"[{""name"": ""RKO Radio Pictures"", ""id"": 6}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/27/1947,0,128,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Breath-taking Adventure !,Tycoon,6.6,4
4500000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",,10339,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 1422, ""name"": ""boat""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 2580, ""name"": ""shipwreck""}, {""id"": 4327, ""name"": ""stroke of fate""}, {""id"": 4676, ""name"": ""whale""}, {""id"": 7240, ""name"": ""walrus""}, {""id"": 9748, ""name"": ""revenge""}]",en,Moby Dick,"In 1841, young Ishmael signs up for service abroad the Pequod, a whaler sailing out of New Bedford. The ship is under the command of Captain Ahab, a strict disciplinarian who exhorts his men to find Moby Dick, the great white whale. Ahab lost his his leg to that creature and is desperate for revenge. As the crew soon learns, he will stop at nothing to gain satisfaction.",5.224593,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Moulin Productions Inc."", ""id"": 14373}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/27/1956,10400000,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"From the immortal adventure classic...of whaling men, their ships, and the sea!",Moby Dick,6.9,89
0,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,27686,"[{""id"": 162843, ""name"": ""state fair""}]",en,State Fair,"During their annual visit to the Iowa State Fair, the Frake family enjoy many adventures. Proud patriarch Abel (Charles Winninger) has high hopes for his champion swine Blueboy; and his wife Melissa (Fay Bainter) enters the mincemeat and pickles contest...with hilarious results.",1.847822,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/29/1945,0,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,State Fair,6.2,19
4000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,27191,"[{""id"": 291, ""name"": ""circus""}, {""id"": 41585, ""name"": ""travelling circus""}]",en,The Greatest Show on Earth,"To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",8.988455,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/10/1952,36000000,152,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,,The Greatest Show on Earth,6.6,50
4000000,"[{""id"": 18, ""name"": ""Drama""}]",,40494,"[{""id"": 291, ""name"": ""circus""}, {""id"": 180181, ""name"": ""trapeze artist""}]",en,Trapeze,"A pair of men try to perform the dangerous ""triple"" in their trapeze act. Problems arise when the duo is made into a trio following the addition of a sexy female performer.",1.379354,"[{""name"": ""Joanna Productions"", ""id"": 5799}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/30/1956,14400000,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,"High...High...High...Above Them All! - in excitement! - in spectacle! - in fire, flesh and fury!",Trapeze,6.4,22
3950000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",,22301,"[{""id"": 2504, ""name"": ""world war i""}, {""id"": 3520, ""name"": ""zeppelin""}, {""id"": 10397, ""name"": ""royal air force""}, {""id"": 10398, ""name"": ""royal flying corps""}, {""id"": 10399, ""name"": ""dogfight""}, {""id"": 10400, ""name"": ""airship""}]",en,Hell's Angels,"Two brothers attending Oxford enlist with the Royal Flying Corps when World War I breaks out. Roy and Monte Rutledge have very different personalities. Monte is a freewheeling womanizer, even with his brother's girlfriend Helen. He also proves to have a yellow streak when it comes to his Night Patrol duties. Roy is made of strong moral fiber and attempts to keep his brother in line. Both volunteer for an extremely risky two man bombing mission for different reasons. Monte wants to lose his cowardly reputation and Roy seeks to protect his brother. Roy loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.  Their assignment to knock out a strategic German munitions facility is a booming success, but with a squadron of fighters bearing down on them afterwards, escape seems unlikely.",8.484123,"[{""name"": ""The Caddo Company"", ""id"": 13866}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/15/1930,8000000,127,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,Howard Hughes' Thrilling Multi-Million Dollar Air Spectacle,Hell's Angels,6.1,19
4000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,770,"[{""id"": 314, ""name"": ""life and death""}, {""id"": 393, ""name"": ""civil war""}, {""id"": 531, ""name"": ""southern usa""}, {""id"": 1452, ""name"": ""loss of child""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 2076, ""name"": ""atlanta""}, {""id"": 2613, ""name"": ""luxury""}, {""id"": 3136, ""name"": ""plantation""}, {""id"": 4020, ""name"": ""typhus""}, {""id"": 4021, ""name"": ""business woman""}, {""id"": 5809, ""name"": ""marriage crisis""}]",en,Gone with the Wind,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.,48.98255,"[{""name"": ""Selznick International Pictures"", ""id"": 1553}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/15/1939,400176459,238,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The greatest romance of all time!,Gone with the Wind,7.7,970
3768785,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 37, ""name"": ""Western""}]",,25209,"[{""id"": 4344, ""name"": ""musical""}, {""id"": 10991, ""name"": ""annie oakley""}, {""id"": 18105, ""name"": ""sharpshooter""}]",en,Annie Get Your Gun,"This film adaptation of Irving Berlin's classic musical stars Betty Hutton as gunslinger Annie Oakley, who romances fellow sharpshooter Frank Butler (Howard Keel) as they travel with Buffalo Bill's Wild West Show. Previously off target when it comes to love, Annie proves you can get a man with a gun in this battle-of-the-sexes extravaganza, which features timeless numbers like ""Anything You Can Do"" and ""There's No Business Like Show Business.""",1.726175,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/17/1950,8000000,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Annie Get Your Gun,7.3,22
3700000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,35032,"[{""id"": 4344, ""name"": ""musical""}, {""id"": 12988, ""name"": ""pirate""}]",en,The Pirate,"A girl is engaged to the local richman, but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.",0.90522,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/11/1948,2956000,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The great MGM musical romance,The Pirate,6.6,17
3500000,"[{""id"": 18, ""name"": ""Drama""}]",,27029,"[{""id"": 428, ""name"": ""nurse""}, {""id"": 440, ""name"": ""missionary""}, {""id"": 745, ""name"": ""nun""}, {""id"": 1690, ""name"": ""belgium""}, {""id"": 10482, ""name"": ""sanitarium""}, {""id"": 11322, ""name"": ""female protagonist""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 159845, ""name"": ""tuberculosis""}, {""id"": 160800, ""name"": ""congo""}, {""id"": 165470, ""name"": ""convent""}, {""id"": 172399, ""name"": ""thinness""}, {""id"": 198780, ""name"": ""obedience""}]",en,The Nun's Story,Gabrielle Van Der Mal gave up everything to become a nun. But her faith and her vows are forever being tested: first in the missionary Congo hospital where she assists the brilliant and handsome Dr. Fortunati and then at the mother house in France when World War II has broken out and the nuns are forbidden by the order to take sides.,3.281509,"[{""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/18/1959,12800000,149,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Her Faith Remained Strong and True in the Face of Africa's Terrors!,The Nun's Story,7.4,46
3180000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",,1585,"[{""id"": 65, ""name"": ""holiday""}, {""id"": 290, ""name"": ""angel""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 974, ""name"": ""bank""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 5570, ""name"": ""christmas tree""}, {""id"": 5571, ""name"": ""great depression""}, {""id"": 33965, ""name"": ""christmas eve""}, {""id"": 156115, ""name"": ""feel-good ending""}, {""id"": 184559, ""name"": ""guardian angel""}, {""id"": 207317, ""name"": ""christmas""}]",en,It's a Wonderful Life,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin.",42.868495,"[{""name"": ""RKO Radio Pictures"", ""id"": 6}, {""name"": ""Liberty Films (II)"", ""id"": 11770}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/20/1946,9644124,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's a wonderful laugh! It's a wonderful love!,It's a Wonderful Life,8,1076
3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,261,"[{""id"": 30, ""name"": ""individual""}, {""id"": 236, ""name"": ""suicide""}, {""id"": 531, ""name"": ""southern usa""}, {""id"": 596, ""name"": ""adultery""}, {""id"": 787, ""name"": ""mississippi""}, {""id"": 894, ""name"": ""depression""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 1157, ""name"": ""wife husband relationship""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 33457, ""name"": ""alcoholic""}]",en,Cat on a Hot Tin Roof,"Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.",16.553594,"[{""name"": ""Avon Production"", ""id"": 100}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/17/1958,17570324,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Just one pillow on her bed ... and just one desire in her heart!,Cat on a Hot Tin Roof,7.6,165
3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",,826,"[{""id"": 233, ""name"": ""japan""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 907, ""name"": ""japanese""}, {""id"": 1261, ""name"": ""river""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 3434, ""name"": ""thailand""}, {""id"": 3450, ""name"": ""bridge""}, {""id"": 3776, ""name"": ""officer""}]",en,The Bridge on the River Kwai,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",23.109959,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Horizon Pictures (II)"", ""id"": 11356}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/2/1957,33300000,161,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It spans a whole new world of entertainment!,The Bridge on the River Kwai,7.7,542
